"item_number","item_description","item_type","category","uom","weight","dimensions","color","material","manufacturer","manufacturer_part_number","supplier_code","supplier_part_number","lead_time_days","minimum_order_quantity","unit_cost","currency","country_of_origin","compliance_status","is_serialized","is_npi","is_obsolete","status","created_date","last_modified_date","revision","notes"
"ITEM-182","COMPONENT BICYCLES Component 182","COMPONENT","BICYCLES","KG","0.5","81x77x35cm","Matte Black","Carbon Fiber","LG","PART-000182","SUP009","SUP-PART-000182","84","11","3851.05","USD","USA","FCC","true","false","false","INACTIVE","2025-01-05","2025-01-25","R5","Notes for ITEM-182"
"ITEM-183","Product 183","FINISHED_GOOD","BATTERIES","SET","8.9","134x55x29cm","Matte Black","Steel","Trek Bikes","PART-000183","SUP003","SUP-PART-000183","31","27","4317.04","USD","Germany","FCC","false","false","false","INACTIVE","2025-08-26","2025-09-24","R1","Notes for ITEM-183"
"ITEM-184","COMPONENT BATTERIES Component 184","COMPONENT","BATTERIES","L","45.4","165x35x50cm","Black","Steel","Xiaomi","PART-000184","SUP002","SUP-PART-000184","35","10","1138.51","USD","USA","UN38.3","false","true","false","ACTIVE","2025-08-11","2025-08-17","R2","Notes for ITEM-184"
"ITEM-185","ASSEMBLY FRAMES Component 185","ASSEMBLY","FRAMES","EA","25.1","123x31x40cm","Blue","Plastic","Samsung","PART-000185","SUP009","SUP-PART-000185","67","10","1783.17","USD","Germany","REACH","true","false","false","INACTIVE","2024-12-17","2025-01-09","R5","Notes for ITEM-185"
"ITEM-186","COMPONENT BATTERIES Component 186","COMPONENT","BATTERIES","KG","37.2","156x77x26cm","Matte Black","Aluminum","Panasonic","PART-000186","SUP001","SUP-PART-000186","75","93","4957.97","USD","Germany","UN38.3","true","false","false","OBSOLETE","2024-12-12","2024-12-22","R4","Notes for ITEM-186"
"ITEM-187","Product 187","FINISHED_GOOD","FRAMES","L","41.6","129x74x5cm","White","Titanium","Panasonic","PART-000187","SUP009","SUP-PART-000187","24","85","3587.64","USD","China","FCC","false","true","true","INACTIVE","2024-10-26","2024-11-02","R1","Notes for ITEM-187"
"ITEM-188","ASSEMBLY BICYCLES Component 188","ASSEMBLY","BICYCLES","L","24.8","193x83x36cm","Black","Plastic","Trek Bikes","PART-000188","SUP010","SUP-PART-000188","27","68","1882.31","USD","Germany","FCC","false","false","false","INACTIVE","2025-09-14","2025-09-27","R1","Notes for ITEM-188"
"ITEM-189","Electric Mountain Bike 189","FINISHED_GOOD","BICYCLES","EA","29.7","72x21x26cm","Black","Titanium","Xiaomi","PART-000189","SUP002","SUP-PART-000189","20","41","2423.44","USD","Japan","UN38.3","false","false","true","OBSOLETE","2024-11-02","2024-11-17","R5","Notes for ITEM-189"
"ITEM-190","Electric Mountain Bike 190","FINISHED_GOOD","BICYCLES","KG","28.9","200x71x44cm","Matte Black","Aluminum","Trek Bikes","PART-000190","SUP007","SUP-PART-000190","1","1","2004.55","USD","USA","UN38.3","true","false","true","INACTIVE","2025-04-08","2025-04-26","R4","Notes for ITEM-190"
"ITEM-191","ASSEMBLY BICYCLES Component 191","ASSEMBLY","BICYCLES","SET","44.4","117x47x22cm","White","Plastic","Panasonic","PART-000191","SUP001","SUP-PART-000191","75","66","584.83","USD","Taiwan","ROHS","false","false","true","OBSOLETE","2025-09-20","2025-10-14","R3","Notes for ITEM-191"
"ITEM-192","RAW_MATERIAL ELECTRONICS Component 192","RAW_MATERIAL","ELECTRONICS","EA","7.5","19x75x47cm","Black","Carbon Fiber","Samsung","PART-000192","SUP005","SUP-PART-000192","82","30","1046.07","USD","Germany","ROHS","false","true","false","INACTIVE","2024-11-20","2024-12-06","R5","Notes for ITEM-192"
"ITEM-193","COMPONENT ELECTRONICS Component 193","COMPONENT","ELECTRONICS","M","1.7","151x74x5cm","White","Aluminum","Xiaomi","PART-000193","SUP010","SUP-PART-000193","90","33","3282.37","USD","Japan","FCC","true","true","true","ACTIVE","2025-04-20","2025-05-08","R4","Notes for ITEM-193"
"ITEM-194","Product 194","FINISHED_GOOD","FRAMES","SET","0.6","189x69x47cm","Red","Plastic","Panasonic","PART-000194","SUP001","SUP-PART-000194","50","57","3289.78","USD","Japan","FCC","true","true","false","ACTIVE","2025-06-29","2025-07-04","R4","Notes for ITEM-194"
"ITEM-195","Product 195","FINISHED_GOOD","BATTERIES","EA","41.1","196x26x15cm","Black","Plastic","Trek Bikes","PART-000195","SUP001","SUP-PART-000195","62","30","4140.79","USD","Germany","FCC","true","true","false","INACTIVE","2025-09-20","2025-09-22","R4","Notes for ITEM-195"
"ITEM-196","TOOL ELECTRONICS Component 196","TOOL","ELECTRONICS","M","45.4","90x90x22cm","Blue","Plastic","LG","PART-000196","SUP001","SUP-PART-000196","5","38","934.48","USD","China","CE","true","false","false","OBSOLETE","2025-01-29","2025-02-22","R1","Notes for ITEM-196"
"ITEM-197","TOOL ELECTRONICS Component 197","TOOL","ELECTRONICS","EA","15.6","23x95x27cm","Black","Titanium","Samsung","PART-000197","SUP009","SUP-PART-000197","77","23","1336.57","USD","Germany","CE","false","true","false","INACTIVE","2025-06-27","2025-07-23","R1","Notes for ITEM-197"
"ITEM-198","COMPONENT BICYCLES Component 198","COMPONENT","BICYCLES","L","9.1","49x31x15cm","Silver","Steel","Samsung","PART-000198","SUP007","SUP-PART-000198","54","30","723.63","USD","Taiwan","REACH","true","true","true","NPI","2024-10-27","2024-11-08","R4","Notes for ITEM-198"
"ITEM-199","Product 199","FINISHED_GOOD","BATTERIES","M","33.3","44x90x31cm","White","Plastic","LG","PART-000199","SUP005","SUP-PART-000199","86","9","4203.85","USD","Germany","ROHS","true","true","false","ACTIVE","2025-06-06","2025-07-06","R3","Notes for ITEM-199"
"ITEM-200","ASSEMBLY BICYCLES Component 200","ASSEMBLY","BICYCLES","KG","44.4","116x65x25cm","White","Plastic","Samsung","PART-000200","SUP006","SUP-PART-000200","84","97","4437.81","USD","USA","CE","true","true","false","ACTIVE","2025-09-02","2025-09-06","R3","Notes for ITEM-200"
"ITEM-201","COMPONENT BATTERIES Component 201","COMPONENT","BATTERIES","M","27.4","131x25x14cm","Red","Titanium","Xiaomi","PART-000201","SUP007","SUP-PART-000201","16","26","2629.39","USD","Taiwan","ROHS","true","true","true","INACTIVE","2025-01-31","2025-02-25","R5","Notes for ITEM-201"
"ITEM-202","COMPONENT BICYCLES Component 202","COMPONENT","BICYCLES","L","5.8","173x60x48cm","Matte Black","Carbon Fiber","Trek Bikes","PART-000202","SUP007","SUP-PART-000202","6","60","913.34","USD","Germany","REACH","false","true","false","ACTIVE","2025-06-24","2025-07-12","R3","Notes for ITEM-202"
"ITEM-203","Product 203","FINISHED_GOOD","BATTERIES","KG","32.1","169x84x48cm","Matte Black","Plastic","LG","PART-000203","SUP005","SUP-PART-000203","28","100","2980.48","USD","Taiwan","UN38.3","true","true","true","NPI","2025-03-27","2025-03-29","R5","Notes for ITEM-203"
"ITEM-204","Product 204","FINISHED_GOOD","ELECTRONICS","EA","10.1","50x90x8cm","Matte Black","Steel","LG","PART-000204","SUP001","SUP-PART-000204","40","84","3740.05","USD","Taiwan","CE","true","true","false","INACTIVE","2024-12-22","2025-01-15","R1","Notes for ITEM-204"
"ITEM-205","TOOL BATTERIES Component 205","TOOL","BATTERIES","SET","0.7","196x16x45cm","Blue","Aluminum","Samsung","PART-000205","SUP004","SUP-PART-000205","3","94","4129.49","USD","Taiwan","CE","true","false","false","OBSOLETE","2025-03-01","2025-03-27","R4","Notes for ITEM-205"
"ITEM-206","RAW_MATERIAL FRAMES Component 206","RAW_MATERIAL","FRAMES","SET","8.2","177x32x20cm","Matte Black","Aluminum","LG","PART-000206","SUP004","SUP-PART-000206","75","6","1580.53","USD","USA","ROHS","true","false","false","INACTIVE","2025-06-14","2025-07-10","R4","Notes for ITEM-206"
"ITEM-207","Product 207","FINISHED_GOOD","FRAMES","EA","22.8","13x21x35cm","White","Steel","Panasonic","PART-000207","SUP003","SUP-PART-000207","33","96","2918.86","USD","Japan","REACH","false","true","true","OBSOLETE","2025-03-12","2025-03-16","R3","Notes for ITEM-207"
"ITEM-208","TOOL BICYCLES Component 208","TOOL","BICYCLES","M","46.2","124x42x38cm","Black","Plastic","Samsung","PART-000208","SUP005","SUP-PART-000208","79","6","3318.83","USD","Japan","REACH","true","true","false","ACTIVE","2025-07-20","2025-08-11","R3","Notes for ITEM-208"
"ITEM-209","TOOL BATTERIES Component 209","TOOL","BATTERIES","EA","28.0","34x97x29cm","Blue","Aluminum","LG","PART-000209","SUP001","SUP-PART-000209","22","22","3255.3","USD","USA","CE","true","true","true","OBSOLETE","2024-11-22","2024-12-04","R1","Notes for ITEM-209"
"ITEM-210","ASSEMBLY BICYCLES Component 210","ASSEMBLY","BICYCLES","L","8.8","45x21x43cm","White","Aluminum","Xiaomi","PART-000210","SUP001","SUP-PART-000210","69","73","1431.85","USD","USA","REACH","false","false","false","ACTIVE","2025-07-31","2025-08-26","R3","Notes for ITEM-210"
"ITEM-211","TOOL BICYCLES Component 211","TOOL","BICYCLES","SET","46.3","83x81x8cm","White","Plastic","Samsung","PART-000211","SUP003","SUP-PART-000211","78","34","4901.85","USD","China","CE","false","false","false","OBSOLETE","2025-07-16","2025-07-26","R2","Notes for ITEM-211"
"ITEM-212","Smart City Scooter 212","FINISHED_GOOD","SCOOTERS","EA","8.8","86x96x31cm","Matte Black","Aluminum","Panasonic","PART-000212","SUP008","SUP-PART-000212","55","19","221.81","USD","USA","UN38.3","true","false","false","OBSOLETE","2025-02-01","2025-02-05","R4","Notes for ITEM-212"
"ITEM-213","RAW_MATERIAL WHEELS Component 213","RAW_MATERIAL","WHEELS","EA","6.4","193x91x39cm","Red","Aluminum","Trek Bikes","PART-000213","SUP010","SUP-PART-000213","5","95","4465.08","USD","China","UN38.3","true","true","false","OBSOLETE","2025-06-22","2025-07-06","R2","Notes for ITEM-213"
"ITEM-214","RAW_MATERIAL FRAMES Component 214","RAW_MATERIAL","FRAMES","M","9.1","63x24x44cm","White","Steel","Samsung","PART-000214","SUP001","SUP-PART-000214","42","99","4923.59","USD","Germany","FCC","true","false","true","INACTIVE","2024-11-25","2024-12-02","R5","Notes for ITEM-214"
"ITEM-215","RAW_MATERIAL ELECTRONICS Component 215","RAW_MATERIAL","ELECTRONICS","L","23.8","183x94x29cm","White","Plastic","Panasonic","PART-000215","SUP003","SUP-PART-000215","41","31","1996.85","USD","Japan","REACH","false","false","true","ACTIVE","2025-01-22","2025-01-25","R1","Notes for ITEM-215"
"ITEM-216","Product 216","FINISHED_GOOD","BATTERIES","SET","22.2","184x28x12cm","White","Titanium","Xiaomi","PART-000216","SUP004","SUP-PART-000216","18","79","3421.94","USD","China","REACH","false","false","true","ACTIVE","2025-08-03","2025-08-21","R1","Notes for ITEM-216"
"ITEM-217","RAW_MATERIAL BATTERIES Component 217","RAW_MATERIAL","BATTERIES","KG","45.9","167x26x46cm","Black","Carbon Fiber","LG","PART-000217","SUP010","SUP-PART-000217","68","57","4986.52","USD","Germany","ROHS","false","true","true","ACTIVE","2025-05-25","2025-06-07","R1","Notes for ITEM-217"
"ITEM-218","RAW_MATERIAL WHEELS Component 218","RAW_MATERIAL","WHEELS","M","5.8","142x88x24cm","Blue","Titanium","LG","PART-000218","SUP010","SUP-PART-000218","88","1","75.92","USD","Japan","UN38.3","false","false","false","ACTIVE","2025-02-13","2025-03-13","R4","Notes for ITEM-218"
"ITEM-219","TOOL BICYCLES Component 219","TOOL","BICYCLES","M","11.7","183x23x39cm","Blue","Plastic","LG","PART-000219","SUP008","SUP-PART-000219","52","23","1531.98","USD","China","UN38.3","false","true","true","OBSOLETE","2025-07-31","2025-08-16","R1","Notes for ITEM-219"
"ITEM-220","Product 220","FINISHED_GOOD","WHEELS","M","6.8","153x61x33cm","Matte Black","Titanium","Samsung","PART-000220","SUP001","SUP-PART-000220","36","46","2998.79","USD","China","FCC","false","true","true","ACTIVE","2025-09-24","2025-10-24","R3","Notes for ITEM-220"
"ITEM-221","COMPONENT ELECTRONICS Component 221","COMPONENT","ELECTRONICS","KG","23.0","71x48x45cm","White","Aluminum","Panasonic","PART-000221","SUP002","SUP-PART-000221","9","13","731.84","USD","Germany","REACH","true","false","false","OBSOLETE","2025-01-15","2025-02-02","R3","Notes for ITEM-221"
"ITEM-222","Smart City Scooter 222","FINISHED_GOOD","SCOOTERS","L","5.5","76x20x21cm","Red","Plastic","Panasonic","PART-000222","SUP002","SUP-PART-000222","36","90","1912.15","USD","Germany","FCC","false","true","false","INACTIVE","2024-12-21","2024-12-27","R1","Notes for ITEM-222"
"ITEM-223","TOOL FRAMES Component 223","TOOL","FRAMES","SET","42.0","115x22x47cm","White","Carbon Fiber","Panasonic","PART-000223","SUP001","SUP-PART-000223","48","14","3187.5","USD","USA","REACH","false","true","true","NPI","2025-08-06","2025-08-12","R3","Notes for ITEM-223"
"ITEM-224","TOOL BATTERIES Component 224","TOOL","BATTERIES","SET","33.2","188x84x23cm","Blue","Carbon Fiber","Panasonic","PART-000224","SUP008","SUP-PART-000224","48","92","1080.46","USD","Taiwan","FCC","true","false","false","OBSOLETE","2025-05-28","2025-06-24","R4","Notes for ITEM-224"
"ITEM-225","RAW_MATERIAL WHEELS Component 225","RAW_MATERIAL","WHEELS","M","23.9","91x54x30cm","Black","Plastic","Panasonic","PART-000225","SUP001","SUP-PART-000225","84","34","3800.8","USD","Taiwan","FCC","true","false","true","INACTIVE","2025-09-11","2025-10-03","R1","Notes for ITEM-225"
"ITEM-226","Electric Mountain Bike 226","FINISHED_GOOD","BICYCLES","SET","22.5","56x74x35cm","Matte Black","Steel","Xiaomi","PART-000226","SUP004","SUP-PART-000226","20","91","3817.28","USD","China","REACH","false","false","true","OBSOLETE","2025-03-01","2025-03-08","R5","Notes for ITEM-226"
"ITEM-227","Product 227","FINISHED_GOOD","ELECTRONICS","M","28.8","67x55x37cm","Black","Carbon Fiber","LG","PART-000227","SUP007","SUP-PART-000227","72","80","920.62","USD","Japan","REACH","true","true","false","OBSOLETE","2024-11-12","2024-12-10","R3","Notes for ITEM-227"
"ITEM-228","Product 228","FINISHED_GOOD","ELECTRONICS","SET","20.0","200x28x48cm","Red","Titanium","Panasonic","PART-000228","SUP003","SUP-PART-000228","79","36","3894.56","USD","China","UN38.3","false","true","true","ACTIVE","2025-09-11","2025-09-24","R1","Notes for ITEM-228"
"ITEM-229","Electric Mountain Bike 229","FINISHED_GOOD","BICYCLES","L","13.1","79x29x15cm","White","Steel","Trek Bikes","PART-000229","SUP005","SUP-PART-000229","13","34","3209.15","USD","Germany","CE","false","false","false","INACTIVE","2025-05-22","2025-06-13","R1","Notes for ITEM-229"
"ITEM-230","Product 230","FINISHED_GOOD","WHEELS","L","41.8","187x80x45cm","Black","Carbon Fiber","Xiaomi","PART-000230","SUP006","SUP-PART-000230","46","11","3776.23","USD","China","ROHS","true","false","false","ACTIVE","2025-01-15","2025-02-05","R2","Notes for ITEM-230"
"ITEM-231","RAW_MATERIAL ELECTRONICS Component 231","RAW_MATERIAL","ELECTRONICS","KG","12.3","74x81x40cm","White","Carbon Fiber","Panasonic","PART-000231","SUP002","SUP-PART-000231","69","95","1594.17","USD","China","FCC","true","false","false","NPI","2025-04-16","2025-05-16","R1","Notes for ITEM-231"
"ITEM-232","COMPONENT BATTERIES Component 232","COMPONENT","BATTERIES","M","20.9","116x23x10cm","White","Titanium","Trek Bikes","PART-000232","SUP007","SUP-PART-000232","60","44","1503.85","USD","China","ROHS","false","true","false","INACTIVE","2025-09-25","2025-10-08","R3","Notes for ITEM-232"
"ITEM-233","TOOL WHEELS Component 233","TOOL","WHEELS","EA","41.5","94x38x7cm","Red","Aluminum","LG","PART-000233","SUP002","SUP-PART-000233","86","18","4262.87","USD","China","FCC","true","true","false","NPI","2025-01-30","2025-02-11","R1","Notes for ITEM-233"
"ITEM-234","COMPONENT BICYCLES Component 234","COMPONENT","BICYCLES","SET","34.0","111x93x12cm","Blue","Steel","Panasonic","PART-000234","SUP003","SUP-PART-000234","70","92","1534.84","USD","Germany","ROHS","false","false","false","OBSOLETE","2024-12-09","2024-12-27","R5","Notes for ITEM-234"
"ITEM-235","Smart City Scooter 235","FINISHED_GOOD","SCOOTERS","KG","10.5","153x95x21cm","White","Aluminum","Trek Bikes","PART-000235","SUP010","SUP-PART-000235","22","83","1373.08","USD","Germany","UN38.3","true","false","true","INACTIVE","2025-01-05","2025-01-31","R1","Notes for ITEM-235"
"ITEM-236","COMPONENT BATTERIES Component 236","COMPONENT","BATTERIES","EA","10.9","57x65x41cm","Red","Aluminum","Trek Bikes","PART-000236","SUP005","SUP-PART-000236","75","99","1190.6","USD","China","UN38.3","false","false","false","ACTIVE","2025-03-26","2025-04-18","R1","Notes for ITEM-236"
"ITEM-237","ASSEMBLY WHEELS Component 237","ASSEMBLY","WHEELS","L","44.9","170x56x50cm","Blue","Carbon Fiber","Trek Bikes","PART-000237","SUP010","SUP-PART-000237","27","42","3690.53","USD","Taiwan","UN38.3","true","true","false","NPI","2025-08-06","2025-08-13","R2","Notes for ITEM-237"
"ITEM-238","ASSEMBLY ELECTRONICS Component 238","ASSEMBLY","ELECTRONICS","SET","12.6","39x41x41cm","Silver","Carbon Fiber","Panasonic","PART-000238","SUP010","SUP-PART-000238","60","12","264.56","USD","Germany","ROHS","false","true","true","INACTIVE","2024-12-03","2024-12-06","R4","Notes for ITEM-238"
"ITEM-239","TOOL SCOOTERS Component 239","TOOL","SCOOTERS","L","15.1","11x16x38cm","Matte Black","Plastic","Panasonic","PART-000239","SUP001","SUP-PART-000239","18","100","265.2","USD","Japan","CE","true","true","true","ACTIVE","2025-01-05","2025-01-26","R5","Notes for ITEM-239"
"ITEM-240","COMPONENT BATTERIES Component 240","COMPONENT","BATTERIES","SET","43.9","53x11x38cm","Silver","Titanium","Panasonic","PART-000240","SUP008","SUP-PART-000240","62","38","4184.67","USD","Germany","ROHS","false","false","true","NPI","2025-03-19","2025-04-12","R2","Notes for ITEM-240"
"ITEM-241","COMPONENT BATTERIES Component 241","COMPONENT","BATTERIES","SET","1.4","132x15x24cm","Black","Steel","Xiaomi","PART-000241","SUP009","SUP-PART-000241","33","41","4894.48","USD","Taiwan","REACH","true","true","false","INACTIVE","2025-03-02","2025-03-16","R3","Notes for ITEM-241"
"ITEM-242","ASSEMBLY WHEELS Component 242","ASSEMBLY","WHEELS","L","21.9","151x59x18cm","Red","Aluminum","LG","PART-000242","SUP001","SUP-PART-000242","14","86","3607.34","USD","Japan","UN38.3","false","false","true","OBSOLETE","2025-06-14","2025-07-13","R3","Notes for ITEM-242"
"ITEM-243","Product 243","FINISHED_GOOD","ELECTRONICS","M","23.3","26x73x17cm","Red","Plastic","Samsung","PART-000243","SUP007","SUP-PART-000243","85","92","1362.49","USD","Germany","REACH","false","false","false","ACTIVE","2025-04-01","2025-04-14","R5","Notes for ITEM-243"
"ITEM-244","ASSEMBLY FRAMES Component 244","ASSEMBLY","FRAMES","KG","27.3","61x98x11cm","White","Plastic","Samsung","PART-000244","SUP005","SUP-PART-000244","54","39","2480.02","USD","China","ROHS","false","true","true","NPI","2024-12-17","2025-01-08","R4","Notes for ITEM-244"
"ITEM-245","ASSEMBLY FRAMES Component 245","ASSEMBLY","FRAMES","SET","36.1","78x65x23cm","Black","Titanium","Samsung","PART-000245","SUP006","SUP-PART-000245","70","56","4960.82","USD","Germany","ROHS","true","true","true","OBSOLETE","2024-11-10","2024-12-06","R2","Notes for ITEM-245"
"ITEM-246","TOOL SCOOTERS Component 246","TOOL","SCOOTERS","EA","9.5","138x16x40cm","Black","Steel","Xiaomi","PART-000246","SUP003","SUP-PART-000246","36","82","850.03","USD","Taiwan","FCC","false","true","true","ACTIVE","2025-03-28","2025-04-26","R5","Notes for ITEM-246"
"ITEM-247","COMPONENT FRAMES Component 247","COMPONENT","FRAMES","SET","6.7","93x80x5cm","Black","Aluminum","Panasonic","PART-000247","SUP002","SUP-PART-000247","62","11","750.96","USD","USA","REACH","false","false","false","INACTIVE","2025-05-26","2025-06-20","R2","Notes for ITEM-247"
"ITEM-248","Product 248","FINISHED_GOOD","BATTERIES","EA","38.3","121x92x39cm","White","Plastic","Panasonic","PART-000248","SUP005","SUP-PART-000248","13","12","4580.04","USD","Japan","FCC","false","true","true","INACTIVE","2025-07-16","2025-07-21","R1","Notes for ITEM-248"
"ITEM-249","Product 249","FINISHED_GOOD","FRAMES","L","46.4","46x38x11cm","Red","Plastic","Panasonic","PART-000249","SUP007","SUP-PART-000249","90","61","2903.58","USD","Japan","REACH","true","false","false","ACTIVE","2025-04-29","2025-05-09","R2","Notes for ITEM-249"
"ITEM-250","TOOL BICYCLES Component 250","TOOL","BICYCLES","L","8.6","48x21x34cm","Blue","Steel","Trek Bikes","PART-000250","SUP010","SUP-PART-000250","80","88","3188.66","USD","China","UN38.3","true","true","false","NPI","2025-10-21","2025-10-27","R1","Notes for ITEM-250"
"ITEM-251","ASSEMBLY WHEELS Component 251","ASSEMBLY","WHEELS","L","11.9","168x59x21cm","Blue","Plastic","Xiaomi","PART-000251","SUP002","SUP-PART-000251","45","71","584.81","USD","Japan","REACH","false","false","false","NPI","2025-07-11","2025-07-13","R2","Notes for ITEM-251"
"ITEM-252","COMPONENT BICYCLES Component 252","COMPONENT","BICYCLES","L","1.6","76x53x17cm","Matte Black","Steel","LG","PART-000252","SUP001","SUP-PART-000252","49","49","3516.59","USD","USA","FCC","true","false","false","INACTIVE","2025-08-15","2025-09-01","R4","Notes for ITEM-252"
"ITEM-253","ASSEMBLY BICYCLES Component 253","ASSEMBLY","BICYCLES","L","45.0","108x60x41cm","Matte Black","Titanium","LG","PART-000253","SUP001","SUP-PART-000253","14","6","4656.83","USD","China","FCC","false","true","false","INACTIVE","2025-04-08","2025-04-17","R3","Notes for ITEM-253"
"ITEM-254","ASSEMBLY BATTERIES Component 254","ASSEMBLY","BATTERIES","EA","5.1","88x84x42cm","Matte Black","Steel","Samsung","PART-000254","SUP006","SUP-PART-000254","4","38","787.4","USD","Taiwan","ROHS","false","true","false","NPI","2025-10-18","2025-10-23","R5","Notes for ITEM-254"
"ITEM-255","Product 255","FINISHED_GOOD","BATTERIES","EA","27.3","18x89x30cm","Silver","Titanium","Samsung","PART-000255","SUP007","SUP-PART-000255","88","72","1157.84","USD","USA","REACH","true","false","false","ACTIVE","2024-12-05","2024-12-22","R2","Notes for ITEM-255"
"ITEM-256","TOOL SCOOTERS Component 256","TOOL","SCOOTERS","KG","11.6","25x67x12cm","Silver","Titanium","Trek Bikes","PART-000256","SUP008","SUP-PART-000256","79","42","1972.59","USD","China","UN38.3","true","true","true","ACTIVE","2025-03-21","2025-04-06","R1","Notes for ITEM-256"
"ITEM-257","RAW_MATERIAL BATTERIES Component 257","RAW_MATERIAL","BATTERIES","EA","10.8","39x88x25cm","Blue","Plastic","Xiaomi","PART-000257","SUP001","SUP-PART-000257","28","13","888.57","USD","USA","FCC","true","true","false","ACTIVE","2025-06-25","2025-07-17","R3","Notes for ITEM-257"
"ITEM-258","RAW_MATERIAL SCOOTERS Component 258","RAW_MATERIAL","SCOOTERS","EA","32.0","174x10x26cm","Red","Titanium","Xiaomi","PART-000258","SUP007","SUP-PART-000258","57","71","977.01","USD","Taiwan","ROHS","true","true","false","OBSOLETE","2025-08-18","2025-09-12","R3","Notes for ITEM-258"
"ITEM-259","RAW_MATERIAL BATTERIES Component 259","RAW_MATERIAL","BATTERIES","KG","1.5","93x85x22cm","Black","Steel","LG","PART-000259","SUP009","SUP-PART-000259","56","96","79.45","USD","Japan","CE","false","true","true","INACTIVE","2024-10-29","2024-11-06","R1","Notes for ITEM-259"
"ITEM-260","Product 260","FINISHED_GOOD","ELECTRONICS","EA","14.6","40x98x10cm","Red","Aluminum","LG","PART-000260","SUP008","SUP-PART-000260","68","76","1113.31","USD","China","ROHS","false","true","false","ACTIVE","2025-10-08","2025-10-11","R1","Notes for ITEM-260"
"ITEM-261","ASSEMBLY WHEELS Component 261","ASSEMBLY","WHEELS","EA","29.6","179x60x45cm","Matte Black","Aluminum","Panasonic","PART-000261","SUP006","SUP-PART-000261","32","81","700.81","USD","USA","CE","false","false","false","ACTIVE","2025-02-25","2025-03-13","R3","Notes for ITEM-261"
"ITEM-262","TOOL BICYCLES Component 262","TOOL","BICYCLES","L","47.4","96x10x32cm","Silver","Titanium","Xiaomi","PART-000262","SUP008","SUP-PART-000262","49","50","1590.47","USD","Germany","UN38.3","false","false","false","OBSOLETE","2025-07-19","2025-08-03","R2","Notes for ITEM-262"
"ITEM-263","RAW_MATERIAL BATTERIES Component 263","RAW_MATERIAL","BATTERIES","EA","15.0","32x19x46cm","Silver","Titanium","Trek Bikes","PART-000263","SUP003","SUP-PART-000263","65","22","3469.98","USD","China","CE","false","true","false","NPI","2025-02-17","2025-02-19","R3","Notes for ITEM-263"
"ITEM-264","COMPONENT FRAMES Component 264","COMPONENT","FRAMES","EA","9.0","101x14x8cm","Matte Black","Plastic","LG","PART-000264","SUP010","SUP-PART-000264","72","29","3364.41","USD","Japan","UN38.3","true","true","false","ACTIVE","2025-01-05","2025-01-16","R2","Notes for ITEM-264"
"ITEM-265","TOOL WHEELS Component 265","TOOL","WHEELS","SET","17.1","46x86x5cm","Matte Black","Aluminum","Samsung","PART-000265","SUP010","SUP-PART-000265","36","25","2911.81","USD","China","FCC","true","false","false","INACTIVE","2025-07-17","2025-07-24","R1","Notes for ITEM-265"
"ITEM-266","Electric Mountain Bike 266","FINISHED_GOOD","BICYCLES","M","36.4","16x91x30cm","Silver","Plastic","Panasonic","PART-000266","SUP006","SUP-PART-000266","27","56","3864.87","USD","China","FCC","true","true","true","NPI","2025-05-03","2025-05-30","R4","Notes for ITEM-266"
"ITEM-267","COMPONENT WHEELS Component 267","COMPONENT","WHEELS","M","39.3","132x10x42cm","Silver","Carbon Fiber","Trek Bikes","PART-000267","SUP007","SUP-PART-000267","13","96","3284.8","USD","China","CE","false","false","false","OBSOLETE","2025-09-27","2025-10-01","R1","Notes for ITEM-267"
"ITEM-268","Product 268","FINISHED_GOOD","ELECTRONICS","M","23.2","15x25x36cm","White","Plastic","Samsung","PART-000268","SUP005","SUP-PART-000268","7","60","2064.3","USD","Taiwan","ROHS","true","true","false","NPI","2025-09-29","2025-10-23","R4","Notes for ITEM-268"
"ITEM-269","TOOL ELECTRONICS Component 269","TOOL","ELECTRONICS","L","29.7","26x60x12cm","Blue","Titanium","LG","PART-000269","SUP004","SUP-PART-000269","42","15","1257.8","USD","Germany","CE","true","false","true","NPI","2024-10-31","2024-11-08","R1","Notes for ITEM-269"
"ITEM-270","TOOL WHEELS Component 270","TOOL","WHEELS","KG","8.6","48x85x43cm","White","Plastic","Xiaomi","PART-000270","SUP008","SUP-PART-000270","24","98","2912.42","USD","Japan","FCC","true","true","false","NPI","2025-07-14","2025-07-23","R4","Notes for ITEM-270"
"ITEM-271","RAW_MATERIAL BATTERIES Component 271","RAW_MATERIAL","BATTERIES","KG","21.2","191x83x16cm","Silver","Steel","Samsung","PART-000271","SUP005","SUP-PART-000271","75","41","3013.87","USD","Germany","CE","true","false","false","INACTIVE","2025-03-13","2025-04-11","R1","Notes for ITEM-271"
"ITEM-272","TOOL ELECTRONICS Component 272","TOOL","ELECTRONICS","L","8.1","155x45x27cm","Black","Carbon Fiber","Panasonic","PART-000272","SUP002","SUP-PART-000272","25","94","3681.62","USD","USA","CE","false","true","false","INACTIVE","2025-04-29","2025-05-13","R3","Notes for ITEM-272"
"ITEM-273","Smart City Scooter 273","FINISHED_GOOD","SCOOTERS","EA","35.9","38x41x12cm","Red","Aluminum","LG","PART-000273","SUP009","SUP-PART-000273","39","2","1734.33","USD","Japan","CE","false","false","true","ACTIVE","2025-07-18","2025-08-10","R2","Notes for ITEM-273"
